Incident ID,Incident Date,State,City Or County,Complete_Address,School,Coordinates,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
3015764,2024-09-04T00:00:00Z,Iowa,Davenport,"3505 W Locust St,Davenport,Iowa",Davenport West High School,"41.5353228,-90.62817086676665",0,0,0,0,2
3015740,2024-09-04T00:00:00Z,Wisconsin,Chippewa Falls,"750 Tropicana Blvd,Chippewa Falls,Wisconsin",Chippewa Falls Middle School,"44.93509725,-91.42136380762938",0,0,0,0,0
3014438,2024-09-03T00:00:00Z,Pennsylvania,Drexel Hill,"601 N Lansdowne Ave,Drexel Hill,Pennsylvania",Upper Darby High School,"39.95721475,-75.28443915442173",0,0,0,0,1
3014916,2024-09-03T00:00:00Z,Iowa,Dubuque,"605 Lincoln Ave,Dubuque,Iowa",Audubon Elementary School,"42.515653400000005,-90.66583809841447",0,0,0,0,1
3010882,2024-08-30T00:00:00Z,New Jersey,Wayne,"45 Reinhart Rd,Wayne,New Jersey",Passaic County Technical Institute,"40.93085365,-74.20316627837369",0,2,0,0,1
3014000,2024-08-30T00:00:00Z,North Carolina,Ramseur,"390 Eastern Randolph Rd,Ramseur,North Carolina",Eastern Randolph High School,"35.7554156,-79.6175253",0,0,0,0,1
3011840,2024-08-30T00:00:00Z,Florida,Daytona Beach,"3917 LPGA Blvd,Daytona Beach,Florida",Daytona Stadium,"29.1871424,-81.07369479230829",0,0,0,0,1
3011032,2024-08-30T00:00:00Z,Maryland,Baltimore,"3500 Hillen Rd,Baltimore,Maryland",Mergenthaler Vocational Technical High School,"39.332258550000006,-76.591075",0,0,0,0,0
3010456,2024-08-29T00:00:00Z,Michigan,Royal Oak,"1500 Lexington Blvd,Royal Oak,Michigan",Royal Oak High School,"42.52408375,-83.16118116496892",0,0,0,0,1
3009720,2024-08-29T00:00:00Z,Texas,Austin,"10701 S 1st St,Austin,Texas",Akins Early College High School,"30.148841400000002,-97.80003781623842",0,0,0,0,1
3009430,2024-08-29T00:00:00Z,Florida,Tallahassee,"550 E Tennessee St,Tallahassee,Florida",Leon High School,"30.44606015,-84.27370678883199",0,0,0,0,1
3008471,2024-08-28T00:00:00Z,North Carolina,Charlotte,"1825 Oakdale Rd,Charlotte,North Carolina",Oakdale Elementary,"35.3006957,-80.8964615",0,0,0,0,1
3009207,2024-08-28T00:00:00Z,Maryland,Baltimore,"5401 Kenwood Ave,Baltimore,Maryland",Overlea High School,"39.34858345,-76.51170213617121",0,0,0,0,1
3007338,2024-08-27T00:00:00Z,Arizona,Phoenix,"3835 W Thomas Rd,Phoenix,Arizona",West Phoenix High School,"33.4798888,-112.1422263",0,0,0,0,1
3015497,2024-08-27T00:00:00Z,Mississippi,Decatur,"275 W Broad St,Decatur,Mississippi",East Central Community College,"32.4442966,-89.11192862535441",0,0,0,0,1
3010331,2024-08-27T00:00:00Z,Georgia,Warner Robins,"401 S Davis Dr,Warner Robins,Georgia",Warner Robins High School,"32.6101447,-83.6143495",0,0,0,0,1
3008467,2024-08-27T00:00:00Z,North Carolina,Charlotte,"2700 Dorchester Pl,Charlotte,North Carolina",Sedgefield Middle School,"35.197357249999996,-80.85567322626451",0,0,0,0,1
3008678,2024-08-27T00:00:00Z,Tennessee,Nashville,"3150 McGavock Pike,Nashville,Tennessee",McGavock High School,"36.186492799999996,-86.67826141340618",0,0,0,0,1
3011022,2024-08-27T00:00:00Z,California,Los Angeles,"7676 San Pedro St,Los Angeles,California",John C. Fremont High School,"33.969634600000006,-118.26734845381515",0,0,0,0,1
3009615,2024-08-27T00:00:00Z,Texas,Bellaire,"5100 Maple St,Bellaire,Texas",Bellaire High School,"29.6920998,-95.46985668050965",0,0,0,0,1
3007487,2024-08-27T00:00:00Z,Tennessee,Chattanooga,"2500 Market St,Chattanooga,Tennessee",Howard High School,"35.02583355,-85.31092126539431",0,0,0,0,1
3006424,2024-08-26T00:00:00Z,Indiana,Avon,"174 S Avon Ave,Avon,Indiana",Avon Intermediate School East,"39.7601897,-86.402707",0,0,0,0,0
3007614,2024-08-26T00:00:00Z,Tennessee,Nashville,"2700 Childrens Way,Nashville,Tennessee",Vanderbilt University,"36.14380105,-86.80281889095295",0,0,0,0,1
3007059,2024-08-26T00:00:00Z,California,Visalia,"1717 N McAuliff St,Visalia,California",Golden West High School,"36.34512235,-119.2560962841112",0,0,0,0,1
3011019,2024-08-26T00:00:00Z,California,Los Angeles,"10860 Denker Ave,Los Angeles,California",Washington Preparatory High School,"33.93709945,-118.3025133224323",0,0,0,0,1
3003784,2024-08-23T00:00:00Z,Texas,San Antonio,"1400 Jackson Keller Rd,San Antonio,Texas",Lee High School,"29.5068855,-98.51576012494084",0,0,0,0,1
3002672,2024-08-22T00:00:00Z,Texas,El Paso,"900 Resler Dr,El Paso,Texas",Franklin High School,"31.86173695,-106.55381958462229",0,0,1,0,0
3004260,2024-08-22T00:00:00Z,Alabama,Tallassee,"502 Barnett Blvd,Tallassee,Alabama",Tallassee High School,"32.5370793,-85.8971813",0,0,0,0,1
3010717,2024-08-22T00:00:00Z,California,Vallejo,"1800 Ascot Pkwy,Vallejo,California",Jesse Bethel High School,"38.1203258,-122.207799",0,0,0,0,1
3004093,2024-08-22T00:00:00Z,Louisiana,Baton Rouge,"12121 Tams Dr,Baton Rouge,Louisiana",Belaire High School,"30.46774,-91.04844",0,0,0,0,1
3004083,2024-08-22T00:00:00Z,Louisiana,Baton Rouge,"800 E McKinley St,Baton Rouge,Louisiana",McKinley High School,"30.422563349999997,-91.17339590412669",0,0,0,0,1
3000787,2024-08-20T00:00:00Z,Texas,San Antonio,"600 N Ellison Dr,San Antonio,Texas",John Paul Stevens High School,"29.4401769,-98.68421947744025",0,0,0,0,1
3020251,2024-08-20T00:00:00Z,California,Tracy,"650 W 10th St,Tracy,California",Stein Continuation High School,"37.73785475,-121.43553282564042",0,0,0,0,1
