Incident ID,Incident Date,State,City Or County,Address,Complete_Address,School name,Coordinates,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2629211,2023-06-18T00:00:00Z,Idaho,Kellogg,525 W Cameron Ave,"525 W Cameron Ave,Kellogg,Idaho",,"47.54355207257216,-116.12696513214692",4,0,0,0,1
2628950,2023-06-18T00:00:00Z,Illinois,Chicago,9900  S Princeton Ave,"9900  S Princeton Ave,Chicago,Illinois",,"41.713323,-87.63098",2,3,0,0,0
2628104,2023-06-18T00:00:00Z,Illinois,Chicago,5400  W Crystal St,"5400  W Crystal St,Chicago,Illinois",,"41.9033154,-87.76117692647921",1,3,0,0,0
2628094,2023-06-18T00:00:00Z,Georgia,Decatur,4525 Glenwood Rd,"4525 Glenwood Rd,Decatur,Georgia",,"33.7356421,-84.2326602",0,5,0,0,0
2629262,2023-06-18T00:00:00Z,Michigan,Detroit,12000  Roselawn St,"12000  Roselawn St,Detroit,Michigan",,"42.376067,-83.15035",0,4,0,0,0
2627254,2023-06-17T00:00:00Z,Illinois,Chicago,1900  N Stockton Dr,"1900  N Stockton Dr,Chicago,Illinois",,"41.9134695,-87.6317098",0,5,0,0,0
2627729,2023-06-17T00:00:00Z,Pennsylvania,Philadelphia,1700  Ringgold St,"1700  Ringgold St,Philadelphia,Pennsylvania",,"39.931333,-75.185667",0,5,0,0,0
2627193,2023-06-17T00:00:00Z,Wisconsin,La Crosse,116 3rd St S,"116 3rd St S,La Crosse,Wisconsin",,"43.8124274,-91.2530797",0,7,0,0,1
2627442,2023-06-17T00:00:00Z,North Carolina,Winston Salem (Winston-salem),800  Utah Dr,"800  Utah Dr,Winston Salem (Winston-salem),North Carolina",,"36.065934,-80.180154",0,4,0,0,0
2627418,2023-06-17T00:00:00Z,North Carolina,Charlotte,6432 E Independence Blvd,"6432 E Independence Blvd,Charlotte,North Carolina",,"35.172041,-80.74682797169811",1,3,0,0,1
2629270,2023-06-17T00:00:00Z,Louisiana,Alexandria,3323 Willow Glen River Rd,"3323 Willow Glen River Rd,Alexandria,Louisiana",,"31.276099285714285,-92.43590110714287",1,3,0,0,0
2630156,2023-06-17T00:00:00Z,Ohio,Cleveland,11921 Miles Ave,"11921 Miles Ave,Cleveland,Ohio",,"41.44534,-81.584002",0,4,0,0,0
2627283,2023-06-16T00:00:00Z,California,Carson,1500  E Abila St,"1500  E Abila St,Carson,California",,"33.828748,-118.24575",0,8,0,0,0
2627013,2023-06-16T00:00:00Z,New Jersey,Clifton,39 Harding Ave,"39 Harding Ave,Clifton,New Jersey",,"40.875978,-74.140108",0,4,0,0,0
